Epoch,Train Loss,Dice,IoU,Precision,Recall,Accuracy,Specificity,TP,FP,FN,TN,Time (s)
24,0.0014504315781054497,0.5715794685589795,0.4001478948096316,0.6419991101878674,0.5150812064962133,0.9994088244082318,0.9997799227459546,8658.0,4828.0,8151.0,21932923.0,120.28
25,0.0013244398841786493,0.5483542585678285,0.37774661056548864,0.7486102532419717,0.4326253792608527,0.9994543730322989,0.9998886850343041,7272.0,2442.0,9537.0,21935309.0,99.78
26,0.0013022537627563557,0.5544028608856869,0.3835113157635037,0.6847122616751051,0.4657623891959868,0.9994267705661142,0.9998356713958504,7829.0,3605.0,8980.0,21934146.0,97.34
27,0.0012667256907518592,0.5965295714946034,0.42503893162171436,0.6727164089919541,0.5358438931521591,0.9994450355643651,0.9998002529976746,9007.0,4382.0,7802.0,21933369.0,97.35
28,0.001204000494396665,0.6026868605961325,0.4313183949971697,0.7765997372858167,0.49241477779731546,0.9995029278655545,0.9998914656292702,8277.0,2381.0,8532.0,21935370.0,97.62
29,0.0011404709518716282,0.5724220362923059,0.40097427310072514,0.7316666666659891,0.47010530073147117,0.9994622984928866,0.9998678989473437,7902.0,2898.0,8907.0,21934853.0,97.18
30,0.0011195822226853147,0.5856495994424988,0.41407673742776235,0.7064112259468057,0.5001487298468081,0.9994581535680965,0.9998407311670184,8407.0,3494.0,8402.0,21934257.0,106.15
31,0.001059193862358364,0.606377694625449,0.4351090623958394,0.683793876026375,0.5447081920396545,0.9994585635057132,0.9998069993592319,9156.0,4234.0,7653.0,21933517.0,103.03
32,0.0010196332287847126,0.5895114993130034,0.4179484618455763,0.7224620165739619,0.4978880361708026,0.9994691307864967,0.9998534489702243,8369.0,3215.0,8440.0,21934536.0,100.45
33,0.0010179211201028855,0.598485664046866,0.42702785743525856,0.754114668112901,0.49610327800553505,0.999490356445312,0.9998760583981461,8339.0,2719.0,8470.0,21935032.0,103.84
34,0.0009240177892184764,0.5918905783515268,0.42034416448872325,0.7105943152448857,0.5071687786301938,0.9994645303754659,0.9998417340045471,8525.0,3472.0,8284.0,21934279.0,99.92
35,0.0008830000021728145,0.5185993854114028,0.3500736939787379,0.8094156253933997,0.3815218037953587,0.9994576980818558,0.9999311688787055,6413.0,1510.0,10396.0,21936241.0,101.68
